day,h1_diff,day_diff,day_high,day_low,
2019/12/23,232224,22,26,2178,2152,
2019/12/24,180603,22,24,2152,2128,
2019/12/25,133632,15,37,2167,2130,
2019/12/26,129017,10,18,2174,2156,
2019/12/27,271056,28,32,2199,2167,
2019/12/30,316705,39,39,2238,2199,
2019/12/31,297594,30,47,2220,2173,
2020/1/2,263174,28,28,2206,2178,
2020/1/3,111544,12,50,2246,2196,
2020/1/6,457539,41,56,2300,2244,
2020/1/7,308752,22,31,2289,2258,
2020/1/8,601944,90,90,2384,2294,
2020/1/9,429356,37,91,2319,2228,
2020/1/10,158031,14,21,2251,2230,
2020/1/13,608090,65,84,2352,2268,
2020/1/14,268422,34,44,2378,2334,
2020/1/15,357016,35,47,2364,2317,
2020/1/16,178601,19,50,2356,2306,
2020/1/17,177019,21,63,2339,2276,
2020/1/20,298509,27,45,2345,2300,
2020/1/21,233529,28,38,2324,2286,
2020/1/22,255968,45,53,2286,2233,
2020/1/23,138457,22,40,2270,2230,
2020/2/3,292248,34,34,2133,2099,
2020/2/4,356112,71,71,2077,2006,
2020/2/5,306474,42,60,2112,2052,
2020/2/6,200798,27,35,2117,2082,
2020/2/7,197207,20,45,2136,2091,
2020/2/10,281463,33,41,2147,2106,
2020/2/11,377083,40,40,2145,2105,
2020/2/12,284660,21,65,2127,2062,
2020/2/13,372562,32,35,2107,2072,
2020/2/14,254679,24,38,2102,2064,
2020/2/17,285831,21,21,2117,2096,
2020/2/18,291320,23,40,2126,2086,
2020/2/19,285213,28,36,2124,2088,
2020/2/20,369314,19,34,2149,2115,
2020/2/21,247206,19,36,2138,2102,
2020/2/24,515655,63,63,2113,2050,
2020/2/25,270700,24,77,2131,2054,
2020/2/26,431052,26,58,2142,2084,
2020/2/27,392139,26,28,2094,2066,
2020/2/28,500792,48,71,2079,2008,
2020/3/2,437437,43,63,2064,2001,
2020/3/3,409085,28,75,2096,2021,
2020/3/4,316278,25,25,2055,2030,
2020/3/5,311385,17,32,2050,2018,
2020/3/6,325607,24,34,2038,2004,
2020/3/9,33015,0,0,1918,1918,
2020/3/10,636362,106,158,1938,1780,
2020/3/11,258504,25,58,1938,1880,
2020/3/12,506899,72,75,1886,1811,
2020/3/13,436226,41,88,1885,1797,
2020/3/16,243368,28,49,1864,1815,
2020/3/17,300708,29,31,1837,1806,
2020/3/18,239963,33,88,1835,1747,
2020/3/19,431360,62,66,1776,1710,
2020/3/20,323056,38,57,1780,1723,
2020/3/23,311157,37,51,1752,1701,
2020/3/24,264270,21,59,1764,1705,
2020/3/25,330551,36,69,1753,1684,
2020/3/26,347067,40,40,1697,1657,
2020/3/27,441477,68,85,1686,1601,
2020/3/30,375182,38,56,1601,1545,
2020/3/31,359344,45,62,1630,1568,
2020/4/1,262653,30,50,1601,1551,
2020/4/2,321658,52,109,1640,1531,
2020/4/3,406245,52,52,1663,1611,
2020/4/7,304566,35,35,1695,1660,
2020/4/8,235940,32,43,1699,1656,
2020/4/9,343614,44,81,1777,1696,
2020/4/10,284854,40,57,1782,1725,
2020/4/13,345598,74,98,1846,1748,
2020/4/14,491213,64,88,1848,1760,
2020/4/15,464210,46,60,1798,1738,
2020/4/16,503578,56,83,1806,1723,
2020/4/17,435050,34,52,1776,1724,
2020/4/20,543391,45,58,1759,1701,
2020/4/21,639774,64,92,1760,1668,
2020/4/22,609991,45,52,1682,1630,
2020/4/23,542495,40,62,1740,1678,
2020/4/24,452165,28,56,1746,1690,
2020/4/27,427987,32,32,1687,1655,
2020/4/28,417988,39,81,1717,1636,
2020/4/29,413358,31,65,1737,1672,
2020/4/30,409740,26,71,1788,1717,
2020/5/6,429281,74,78,1850,1772,
2020/5/7,192283,16,54,1804,1750,
2020/5/8,340465,23,39,1770,1731,
2020/5/11,355906,25,37,1778,1741,
2020/5/12,265699,18,36,1753,1717,
2020/5/13,385846,29,50,1748,1698,
2020/5/14,254451,16,35,1754,1719,
2020/5/15,360843,24,29,1778,1749,
2020/5/18,481151,26,35,1742,1707,
2020/5/19,410561,19,39,1738,1699,
2020/5/20,261041,12,44,1754,1710,
2020/5/21,414550,17,26,1766,1740,
2020/5/22,481693,24,64,1734,1670,
2020/5/25,436393,21,35,1701,1666,
2020/5/26,398425,19,19,1694,1675,
2020/5/27,402509,23,55,1727,1672,
2020/5/28,303532,20,20,1716,1696,
2020/5/29,575706,28,28,1711,1683,
2020/6/1,507208,22,24,1722,1698,
2020/6/2,278826,11,24,1720,1696,
2020/6/3,441935,12,15,1755,1740,
2020/6/4,235239,11,23,1756,1733,
2020/6/5,306675,15,19,1765,1746,
2020/6/8,448369,19,19,1779,1760,
2020/6/9,265534,12,14,1755,1741,
2020/6/10,326533,14,23,1756,1733,
2020/6/11,212568,9,39,1751,1712,
